question_clear,content_clear
вкладка согласование ур не отображается,"критерии доступности сервиса удаленная работа: 1.сотрудник не на нулевой занятости: процент соединения (ит 1001) между штатной должностью и табельным номером на текущую дату больше 0; 2.сотрудник на офисном графике работы: в ит 0007 нормативное рабочее время на текущую дату установлен график, который в соответствии с правилом грв (таблица t508a) является офисным – поле kkrkh принимает одно из значений: {1; 2; 3; 4; 6}; 3.у сотрудника есть руководитель: наличие на текущую дату соединения (ит 1001) b012 между ое сотрудника и шд руководителям или bz10 между шд сотрудника и шд руководителя; 4.уровень ceo- руководителя сотрудника позволяет принимать заявки на ур: на штатной должности руководителя сотрудника установленное на текущую дату значение атрибута (ит 1222) z_pm_ceo уровень подчиненности до сео по сценарию z_pm управление эффективностью должностей отсутствует в таблице zhrt_ess_remapp для формата сотрудника (на данный момент ограничение только на ceo и -1 5.сотруднику установлен признак «удаленный офис»: на шд сотрудника / на ое сотрудника / на вышестоящей ое (по пути анализа p-s-o-o) в ит 1010 комп/вспомсредства подтипе 9021 работа на дому установлено значение 002 удаленный офис. если какой-то из критериев не выполняется, вкладка «удаленная работа» в личном кабинете будет не доступна. для внесения изменений в систему sap, необходимо обратиться к специалистам по кадрам."
у сотрудника не появилась в личный кабинет возможность оформления удаленной работы,"критерии доступности сервиса удаленная работа: 1.сотрудник не на нулевой занятости: процент соединения (ит 1001) между штатной должностью и табельным номером на текущую дату больше 0; 2.сотрудник на офисном графике работы: в ит 0007 нормативное рабочее время на текущую дату установлен график, который в соответствии с правилом грв (таблица t508a) является офисным – поле kkrkh принимает одно из значений: {1; 2; 3; 4; 6}; 3.у сотрудника есть руководитель: наличие на текущую дату соединения (ит 1001) b012 между ое сотрудника и шд руководителям или bz10 между шд сотрудника и шд руководителя; 4.уровень ceo- руководителя сотрудника позволяет принимать заявки на ур: на штатной должности руководителя сотрудника установленное на текущую дату значение атрибута (ит 1222) z_pm_ceo уровень подчиненности до сео по сценарию z_pm управление эффективностью должностей отсутствует в таблице zhrt_ess_remapp для формата сотрудника (на данный момент ограничение только на ceo и -1 5.сотруднику установлен признак «удаленный офис»: на шд сотрудника / на ое сотрудника / на вышестоящей ое (по пути анализа p-s-o-o) в ит 1010 комп/вспомсредства подтипе 9021 работа на дому установлено значение 002 удаленный офис. если какой-то из критериев не выполняется, вкладка «удаленная работа» в личном кабинете будет не доступна. для внесения изменений в систему sap, необходимо обратиться к специалистам по кадрам."
руководитель не видит заявку на удаленную работу,"у данного руководителя отсутствует доступ к сервису ""удаленная работа"" по правилу, поэтому его не видно в лк2. возможно на штатной должности сотрудника ""уровень подчиненности до сео = -2"", в таблице zhrt_ess_remapp для всех форматов настройки такого плана (ограничение на шд руководителя ceo и -1)"
нет возможности согласовать ур сотруднику,"у данного руководителя отсутствует доступ к сервису ""удаленная работа"" по правилу, поэтому его не видно в лк2. возможно на штатной должности сотрудника ""уровень подчиненности до сео = -2"", в таблице zhrt_ess_remapp для всех форматов настройки такого плана (ограничение на шд руководителя ceo и -1)"
руководитель не видит заявки от меня на удаленную работу,"у данного руководителя отсутствует доступ к сервису ""удаленная работа"" по правилу, поэтому его не видно в лк2. возможно на штатной должности сотрудника ""уровень подчиненности до сео = -2"", в таблице zhrt_ess_remapp для всех форматов настройки такого плана (ограничение на шд руководителя ceo и -1)"
руководитель не видит заявки от меня на график ур,"у данного руководителя отсутствует доступ к сервису ""удаленная работа"" по правилу, поэтому его не видно в лк2. возможно на штатной должности сотрудника ""уровень подчиненности до сео = -2"", в таблице zhrt_ess_remapp для всех форматов настройки такого плана (ограничение на шд руководителя ceo и -1)"
как получить выплату по уходу за больным родственником от работодателя?,"больничный с кодом 09 (уход за больным членом семьи) оплачивается полностью за счет средств сфр, работодатель в данном случае выплату не производит."
как получить выплату по уходу за больным родственником?,"больничный с кодом 09 (уход за больным членом семьи) оплачивается полностью за счет средств сфр, работодатель в данном случае выплату не производит."
почему нет выплаты от работодателя по больничному листу по уходу за больным членом семьи?,"больничный с кодом 09 (уход за больным членом семьи) оплачивается полностью за счет средств сфр, работодатель в данном случае выплату не производит."
оплата больничного листа за уход за родственником,"больничный с кодом 09 (уход за больным членом семьи) оплачивается полностью за счет средств сфр, работодатель в данном случае выплату не производит."
больничный по уходу за членом семьи,"больничный с кодом 09 (уход за больным членом семьи) оплачивается полностью за счет средств сфр, работодатель в данном случае выплату не производит."
больничный по уходу за родственником,"больничный с кодом 09 (уход за больным членом семьи) оплачивается полностью за счет средств сфр, работодатель в данном случае выплату не производит."
оплата больничного листа за уход за родственником.,"больничный с кодом 09 (уход за больным членом семьи) оплачивается полностью за счет средств сфр, работодатель в данном случае выплату не производит."
оплата больничного листа за уход за ребенком,"больничный с кодом 09 (уход за больным членом семьи) оплачивается полностью за счет средств сфр, работодатель в данном случае выплату не производит."
кто оплачивает больничный по уходу за больным членом семьи?,"больничный с кодом 09 (уход за больным членом семьи) оплачивается полностью за счет средств сфр, работодатель в данном случае выплату не производит."
"будет ли действовать электронная подпись, если персональные данные в учетной системе работодателя не актуальны?","выпуск усиленной квалифицированной подписи физического лица возможен только если ваши данные актуальны как в системах компании, так и в системах регулятора. если данные «разойдутся» прим.: у нас в системах указан один номер инн, а в налоговой данные другие, то выпуск будет невозможен, ведь сверка заявленных данных с базами регулятора – проверка в смэв (единая система межведомственного электронного взаимодействия; детально можно прочитать тут: link ) – обязательное условие, при выпуске электронной подписи. подробная информация доступна по ссылке link"
где найти информацию о своих действующих электронных подписях?,"информацию о своих действующих сертификатах электронной подписи можно найти в личном кабинете link - раздел «электронные подписи». данный раздел можно найти в правом верхнем углу, в выпадающем списке под своими фио. инструкция доступна по ссылке link"
как выпустить себе усиленную квалифицированную электронную подпись физического лица (укэп фл)?,"существует несколько сценариев выпуска укэп фл: сценарий 1: через sap hr​​ применяется при необходимости использовать сертификат во внутренних информационных системах компании (sap, сэд и проч.) сценарий 2: через оператора уц применяется при необходимости использовать сертификат во внешних информационных системах (егаис, сбис, контур экстерн и пр.) и порталах (лк фсс, лк вэд,​ росреестр, госуслуги, mos.ru, лк природопользователя и проч.) сценарий 3: через оператора уц (для cryptoedi) применяется при необходимости использования сертификата для подписания документов в sap erp (упд, каталог цен, расторжение договоров субаренды и проч.; ниже можно найти полный реестр процессов). подробная инструкция доступна по ссылке link"
"срок действия текущих сертификатов электронной подписи истёк. перевыпуск эп не доступен, как можно перевыпустить сертификат электронной подписи?","существует несколько сценариев выпуска укэп фл: сценарий 1: через sap hr​​ применяется при необходимости использовать сертификат во внутренних информационных системах компании (sap, сэд и проч.) сценарий 2: через оператора уц применяется при необходимости использовать сертификат во внешних информационных системах (егаис, сбис, контур экстерн и пр.) и порталах (лк фсс, лк вэд,​ росреестр, госуслуги, mos.ru, лк природопользователя и проч.) сценарий 3: через оператора уц (для cryptoedi) применяется при необходимости использования сертификата для подписания документов в sap erp (упд, каталог цен, расторжение договоров субаренды и проч.; ниже можно найти полный реестр процессов). подробная инструкция доступна по ссылке link"
не прогружается электронная подпись,"существует несколько сценариев выпуска укэп фл: сценарий 1: через sap hr​​ применяется при необходимости использовать сертификат во внутренних информационных системах компании (sap, сэд и проч.) сценарий 2: через оператора уц применяется при необходимости использовать сертификат во внешних информационных системах (егаис, сбис, контур экстерн и пр.) и порталах (лк фсс, лк вэд,​ росреестр, госуслуги, mos.ru, лк природопользователя и проч.) сценарий 3: через оператора уц (для cryptoedi) применяется при необходимости использования сертификата для подписания документов в sap erp (упд, каталог цен, расторжение договоров субаренды и проч.; ниже можно найти полный реестр процессов). подробная инструкция доступна по ссылке link"
как выпустить себе усиленную неквалифицированную электронную подпись физического лица (унэп фл)?,"выпустиить унэп фл можно в личном кабинете link - блок «электронные подписи». данный блок можно найти в правом верхнем углу, в выпадающем списке под своими фио. подробная инструкция доступна по ссылке link"
как выпустить себе усиленную неквалифицированную электронную подпись юридического лица (унэп юл)?,"выпуск унэп юл осуществляется в личный кабинете link - блок «электронные подписи». данный блок можно найти в правом верхнем углу, в выпадающем списке под своими фио. на странице вы найдете соответствующую плашку. на данной плашке необходимо нажать «получить электронную подпись». подробная инструкция доступна по ссылке link"
электронная цифровая подпись не активка,"выпуск унэп юл осуществляется в личный кабинете link - блок «электронные подписи». данный блок можно найти в правом верхнем углу, в выпадающем списке под своими фио. на странице вы найдете соответствующую плашку. на данной плашке необходимо нажать «получить электронную подпись». подробная инструкция доступна по ссылке link"
как заказать выпуск мчд в тс5?,1. заходим на портал поддержки link 2. выбираем раздел «создать заявку» 3. находим блок «эцп тс5» 4. выбираем раздел «создание мчд» и заполняем необходимые поля. инструкция доступна по ссылке link
как заполнять заявление на выпуск укэп фл?,подробная информация доступна по ссылке link
как понять какая подпись мне нужна?,"подробная инструкция о том, какая электронная подпись нужна доступна по ссылке link"
нет задачи на подписание графика,"чтобы дочерняя задача появилась на подписи у сотрудников, необходимо соблюдать все этапы работы с графиком сменности. с 1 по 3 число текущего месяца создаётся задача на актуализацию гс в вебтабеле. с 4 по 7 число задача переводится в статус “требуется подписать эцп”. задача висит в этом статусе до 8 числа. если дм подпишет задачу эцп - создаются задачи на сотрудников, если не задача не подписана - переводится на ручное подписание."
получение электронная цифровая подпись,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
при получении усиленной неквалифицированной электронной подписи физического лица произошла ошибка,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
не работает электронная подпись,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
не могу подписать документ,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
"второй день,не формируется электронная подпись","прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
не могу подписать документы с помощью электронной подписи,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
электронная цифровая подпись,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
не рабоьает электронная подпись,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
нет действующей электронная цифровая подпись,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
проблемы с электронная цифровая подпись,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
проблема с созданием новой электронной подписи.,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
"не загружается электронная цифровая подпись сотруднику,прилагаю скадровый резервиншот.","прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
не формируется в личном кабинете усиленная неквалифицированная электронная подпись юридического лица. дм жукова,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
не формируется электронная подпись юридического лица в личный кабинет.,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
проблема с электронная цифровая подпись,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
"слетела электронная цифровая подпись, не могу подписать отпуск сотруднику","прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
не форммруется электронная цифровая подпись,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
не могу подписать электронная цифровая подпись,"прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
"не могу получить эп в личном кабинете. пишет ошибку ""обнаружена особая ситуация"". было создано три заявки в личном кабинете, решение не поступило.","прежде чем создавать заявку, пожалуйста попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк"
что такое электронная подпись?,"эп – электронная подпись, или эцп – электронная цифровая подпись - собственноручная подпись в электронном виде, которой можно подписывать документы.в торговой сети «пятерочка» мы применяем все три вида электронных подписей: простую, неквалифицированную и квалифицированную, определенных федеральным законом №63‑фз от 06.04.2011. у них разный уровень защиты и юридической значимости, так что применяются они в разных ситуациях. подробная информация доступна по ссылке link"
можно ли выгрузить копию доверенности через sed?,копию доверенности можно выгрузить через раздел отчеты в sed. также там можно посмотреть номер и срок действия доверенности.
запросить поручение по исполнительному листу,"если вам требуется платежное поручение по перечислению, пожалуйста, обратитесь к вашему непосредственному руководителю, чтобы он создал заявку на вас по теме ""исполнительные листы"", в заявке необходимо оставить соответствующий комментарий."
как я могу запросить поручение платежное по исполнительному листу??,"если вам требуется платежное поручение по перечислению, пожалуйста, обратитесь к вашему непосредственному руководителю, чтобы он создал заявку на вас по теме ""исполнительные листы"", в заявке необходимо оставить соответствующий комментарий."
как мне получить платежное поручение по исполнительному листу?,"если вам требуется платежное поручение по перечислению, пожалуйста, обратитесь к вашему непосредственному руководителю, чтобы он создал заявку на вас по теме ""исполнительные листы"", в заявке необходимо оставить соответствующий комментарий."
как запросить платежное поручение по исполнительному листу?,"если вам требуется платежное поручение по перечислению, пожалуйста, обратитесь к вашему непосредственному руководителю, чтобы он создал заявку на вас по теме ""исполнительные листы"", в заявке необходимо оставить соответствующий комментарий."
как узнать номер выручай-карты,"установите мобильное приложение ""пятерочка"""
не верно распечатывается карточка гражданина подлежащего воинскому учету,"если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ит - компьютеры и программы - файлы, ярлыки ms office"
не могу заспечатать документы с портала с личного кабинета,"если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ит - компьютеры и программы - файлы, ярлыки ms office"
посторонние знаки в документе,"если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ит - компьютеры и программы - файлы, ярлыки ms office"
частично отсутствуют данные в документе,"если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ит - компьютеры и программы - файлы, ярлыки ms office"
"нет штрих-кода, либо пустой документ","если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ит - компьютеры и программы - файлы, ярлыки ms office"
вложенные в кадровую заявку документы некорректно распечатываются,"если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ит - компьютеры и программы - файлы, ярлыки ms office"
подать заявку на распечатывание документов,"если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ит - компьютеры и программы - файлы, ярлыки ms office"
некорректная справка,"если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ит - компьютеры и программы - файлы, ярлыки ms office"
невозможно распечатать документы из личный кабинет,"если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ит - компьютеры и программы - файлы, ярлыки ms office"
нет штрих-кода в документе,"если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ит - компьютеры и программы - файлы, ярлыки ms office"
"что делать, если больничный не закадровый резервыт мед. организацией?",сотруднику следует обратиться в мед. организацию для закрытия больничного листа. самостоятельно проверить закрытие лн сотрудник сможете на портале гос.услуги link
в личный кабинет в паспортных данных ошибка,"для изменения персональных данных (адрес/образование/дети/фио/снилс/семейный статус/инн) создается заявка в лк2 по теме изменение персональных данных link к заявке прикладывается документ, подтверждающий изменение. инструкция доступна по ссылке link"
изменить паспорта данные,"для изменения персональных данных (адрес/образование/дети/фио/снилс/семейный статус/инн) создается заявка в лк2 по теме изменение персональных данных link к заявке прикладывается документ, подтверждающий изменение. инструкция доступна по ссылке link"
изменить фамилию в личный кабинет,"для изменения персональных данных (адрес/образование/дети/фио/снилс/семейный статус/инн) создается заявка в лк2 по теме изменение персональных данных link к заявке прикладывается документ, подтверждающий изменение. инструкция доступна по ссылке link"
как добавить свидетельство о рождении,"для изменения персональных данных (адрес/образование/дети/фио/снилс/семейный статус/инн) создается заявка в лк2 по теме изменение персональных данных link к заявке прикладывается документ, подтверждающий изменение. инструкция доступна по ссылке link"
"поменялась фамилия, как изменить в личном кабинете","для изменения персональных данных (адрес/образование/дети/фио/снилс/семейный статус/инн) создается заявка в лк2 по теме изменение персональных данных link к заявке прикладывается документ, подтверждающий изменение. инструкция доступна по ссылке link"
как внести снилс в личный кабинет,"для изменения персональных данных (адрес/образование/дети/фио/снилс/семейный статус/инн) создается заявка в лк2 по теме изменение персональных данных link к заявке прикладывается документ, подтверждающий изменение. инструкция доступна по ссылке link"
как добавить снилс в личный кабинет,"для изменения персональных данных (адрес/образование/дети/фио/снилс/семейный статус/инн) создается заявка в лк2 по теме изменение персональных данных link к заявке прикладывается документ, подтверждающий изменение. инструкция доступна по ссылке link"
проблема с полисом дмс,"по вопросам, связанных с дмс, вы всегда можете обратиться на адрес медицинской поддержки х5 mail"
как получить дмс,"по вопросам, связанных с дмс, вы всегда можете обратиться на адрес медицинской поддержки х5 mail"
проблема с использованием дмс,"по вопросам, связанных с дмс, вы всегда можете обратиться на адрес медицинской поддержки х5 mail"
уйди,"для оформления обращения в техническую поддержку вам необходимо нажать на кнопку ""выйти из чата"" или позвонить по номеру доб.10-100, прямой phone."
оператор,"для оформления обращения в техническую поддержку вам необходимо нажать на кнопку ""выйти из чата"" или позвонить по номеру доб.10-100, прямой phone."
нужен оператор,"для оформления обращения в техническую поддержку вам необходимо нажать на кнопку ""выйти из чата"" или позвонить по номеру доб.10-100, прямой phone."
"сотрудник скончался его уже нет в команде магазина , я должна оформить материальную помощь его родственникам .как мне это сделать если его уже нет в компании , а заявку надо оформлять только на него лично?","для оформления материальной помощи, пожалуйста, создайте заявку "" в разделе ""льготы, выплаты, материальная помощь"", выбрав тему ""материальная помощь"". инструкция размещена в ""базе знаний "" личного кабинета: link"
номер телефона службы поддержки,"для оформления обращения в техническую поддержку вам необходимо нажать на кнопку ""выйти из чата"" или позвонить по номеру доб.10-100, прямой phone."
не могу создать заявку на себя на отпуск по уходу за ребенком и выплату пособия до 1.5 лет. просто нет такой ссыличный кабинети на заявку.,"для проведения отпуска по уходу за ребенком до 1,5 лет и до 3 лет обратитесь, пожалуйста, к директору магазина для создания заявки по теме ""декрет"", подтема ""администрирование отпуска бир"". перечень необходимых документов размещен в «база знаний» link"
можно инструкцию по чиструдовой договоре кеша и куки,"просьба очистить кеш/куки с использованием клавиш ctrl + shift + delete. при появлении окошка с настройками в разделе ""за период"" выбрать ""за все время"". далее выйти с личного кабинета с использованием клавиши ""выход"" и авторизоваться повторно введя логин и пароль."
"очистите кэш и куки браузера, как описано в инструкции. инструкцию можно","просьба очистить кеш/куки с использованием клавиш ctrl + shift + delete. при появлении окошка с настройками в разделе ""за период"" выбрать ""за все время"". далее выйти с личного кабинета с использованием клавиши ""выход"" и авторизоваться повторно введя логин и пароль."
как очистить кеш и куки,"просьба очистить кеш/куки с использованием клавиш ctrl + shift + delete. при появлении окошка с настройками в разделе ""за период"" выбрать ""за все время"". далее выйти с личного кабинета с использованием клавиши ""выход"" и авторизоваться повторно введя логин и пароль."
"ваш номер не привязан, как номер сотрудника","кнопка ""изменить номер"" телефона находится в личном разделе в лк. если доступа к лк нет, для смены номера телефона, обратитесь в поддержку"
не хватает прав на обучении,"по данному запросу необходимо обратиться к ответственному сотруднику цыганок марине, написав на почту mail"
